네트워크 시뮬레이션 시작: round robin, constant (동적 라우팅 포함)

요청 1: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → 10.1.2.0는 Router1에서 도달 불가
요청 2: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → 10.1.2.0는 Router1에서 도달 불가
요청 3: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → 10.1.2.0는 Router1에서 도달 불가
요청 4: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → 10.1.2.0는 Router1에서 도달 불가
요청 5: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:6666, 응답 시간=0.0003초
요청 6: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:7777, 응답 시간=0.4119초
요청 7: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:8888, 응답 시간=0.2045초
요청 8: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:9999, 응답 시간=0.1068초
요청 9: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:6666, 응답 시간=0.0005초
요청 10: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:7777, 응답 시간=0.4119초
요청 11: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:8888, 응답 시간=0.2055초
요청 12: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:9999, 응답 시간=0.1058초
요청 13: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:6666, 응답 시간=0.0010초
요청 14: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:7777, 응답 시간=0.4120초
요청 15: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:8888, 응답 시간=0.2053초
요청 16: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:9999, 응답 시간=0.1053초
요청 17: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:6666, 응답 시간=0.0012초
요청 18: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:7777, 응답 시간=0.4122초
요청 19: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:8888, 응답 시간=0.2061초
요청 20: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:9999, 응답 시간=0.1041초
요청 21: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:6666, 응답 시간=0.0006초
요청 22: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:7777, 응답 시간=0.4071초
요청 23: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:8888, 응답 시간=0.2057초
요청 24: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:9999, 응답 시간=0.1050초
요청 25: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:6666, 응답 시간=0.0006초
